fiscal_year,state,district,survey,headcount_ratio,intensity,mpi,unit,note
2019-21,Assam,Charaideo,NFHS-5,20.1,47.03,0.095,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Chirang,NFHS-5,16.79,42.48,0.071,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Darrang,NFHS-5,23.65,42.2,0.1,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Dhemaji,NFHS-5,13.73,40.72,0.056,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Dhubri,NFHS-5,26.02,44.48,0.116,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Dibrugarh,NFHS-5,12.26,45.51,0.056,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Dima Hasao,NFHS-5,13.62,44.47,0.061,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Goalpara,NFHS-5,18.34,44.23,0.081,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Golaghat,NFHS-5,14.6,44.22,0.065,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Hailakandi,NFHS-5,36.22,45.3,0.164,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Hojai,NFHS-5,14.13,41.83,0.059,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Jorhat,NFHS-5,11.49,44.49,0.051,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Kamrup,NFHS-5,12.71,41.89,0.053,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Kamrup Metro,NFHS-5,5.63,43.08,0.024,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Karbi Anglong,NFHS-5,16.2,42.24,0.068,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Karimganj,NFHS-5,32.93,46.54,0.153,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Kokrajhar,NFHS-5,18.92,43.99,0.083,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Lakhimpur,NFHS-5,14.06,43.1,0.061,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Majuli,NFHS-5,14.41,39.18,0.056,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Marigaon,NFHS-5,22.46,44.63,0.1,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Nagaon,NFHS-5,20.84,44.61,0.093,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Nalbari,NFHS-5,11.24,43.47,0.049,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Sivasagar,NFHS-5,10.28,42.94,0.044,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Sonitpur,NFHS-5,19.94,44.95,0.09,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,South Salmara Mancachar,NFHS-5,28.24,46.45,0.131,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Tinsukia,NFHS-5,17.66,46.04,0.081,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,Udalguri,NFHS-5,19.16,42.99,0.082,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Assam,West Karbi Anglong,NFHS-5,24.09,44.4,0.107,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,Anjaw,NFHS-5,13.09,43.24,0.057,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,Changlang,NFHS-5,14.39,43.49,0.063,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,Dibang Valley,NFHS-5,10.11,42.72,0.043,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,East Kameng,NFHS-5,22.05,43.2,0.095,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,East Siang,NFHS-5,8.11,40.69,0.033,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,Kra Daadi,NFHS-5,18.91,44.13,0.083,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,Kurung Kumey,NFHS-5,11.14,40.52,0.045,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,Lohit,NFHS-5,12.39,42.69,0.053,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,Longding,NFHS-5,20.97,43.73,0.092,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,Lower Dibang Valley,NFHS-5,9.08,41.21,0.037,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,Lower Subansiri,NFHS-5,6.39,39.83,0.025,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,Namsai,NFHS-5,22.11,45.76,0.101,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,Papum Pare,NFHS-5,13.76,43.55,0.06,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,Siang,NFHS-5,9.15,38.97,0.036,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,Tawang,NFHS-5,8.46,41.95,0.035,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,Tirap,NFHS-5,14.78,45.08,0.067,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,Upper Siang,NFHS-5,8.74,39.75,0.035,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,Upper Subansiri,NFHS-5,19.71,42.03,0.083,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,West Kameng,NFHS-5,4.74,39.77,0.019,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Arunachal Pradesh,West Siang,NFHS-5,13.85,41.89,0.058,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Araria,NFHS-5,52.07,51.04,0.266,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Arwal,NFHS-5,31.72,46.91,0.149,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Aurangabad,NFHS-5,26.8,45.72,0.123,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Banka,NFHS-5,38.22,46.42,0.177,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Begusarai,NFHS-5,28.28,45.16,0.128,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Bhagalpur,NFHS-5,27.4,46.62,0.128,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Bhojpur,NFHS-5,26.35,45.76,0.121,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Buxar,NFHS-5,26,43.7,0.114,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Darbhanga,NFHS-5,35.07,49.01,0.172,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Gaya,NFHS-5,35.43,47.61,0.169,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Gopalganj,NFHS-5,23.23,43.25,0.1,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Jamui,NFHS-5,41.94,47.19,0.198,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Jehanabad,NFHS-5,31.77,46.17,0.147,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Kaimur (Bhabua),NFHS-5,29.95,43.91,0.132,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Katihar,NFHS-5,44.21,48.61,0.215,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Khagaria,NFHS-5,41.38,49.71,0.206,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Kishanganj,NFHS-5,45.55,49.52,0.226,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Lakhisarai,NFHS-5,31.46,49.04,0.154,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Madhepura,NFHS-5,45.78,49.38,0.226,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Madhubani,NFHS-5,33.91,46.78,0.159,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Munger,NFHS-5,21.63,46.56,0.101,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Muzaffarpur,NFHS-5,27.61,45.88,0.127,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Nalanda,NFHS-5,30.02,47.4,0.142,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Nawada,NFHS-5,32.13,45.64,0.147,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Pashchim Champaran,NFHS-5,36.67,47.79,0.175,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Patna,NFHS-5,23.09,46.53,0.107,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Purbi Champaran,NFHS-5,36.39,47.99,0.175,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Purnia,NFHS-5,50.7,51.71,0.262,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Rohtas,NFHS-5,21.93,43.37,0.095,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Saharsa,NFHS-5,49,49.81,0.244,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Samastipur,NFHS-5,37.36,46.79,0.175,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Saran,NFHS-5,27.74,45.57,0.126,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Sheikhpura,NFHS-5,31.17,48.09,0.15,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Sheohar,NFHS-5,33.8,47,0.159,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Sitamarhi,NFHS-5,42.82,46.81,0.2,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Siwan,NFHS-5,17.41,44.92,0.078,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Supaul,NFHS-5,50.64,47.25,0.239,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Bihar,Vaishali,NFHS-5,29.22,46.22,0.135,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Balod,NFHS-5,5.77,38.81,0.022,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Baloda Bazar,NFHS-5,15.61,42.6,0.066,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Balrampur,NFHS-5,32.45,43.92,0.143,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Bastar,NFHS-5,34.69,45.94,0.159,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Bemetara,NFHS-5,17.26,40.61,0.07,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Bijapur,NFHS-5,49.72,52.79,0.262,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Bilaspur,NFHS-5,16.74,40.66,0.068,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Dantewada,NFHS-5,29.53,45.88,0.135,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Dhamtari,NFHS-5,5.81,40.17,0.023,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Durg,NFHS-5,3.55,40.53,0.014,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Gariyaband,NFHS-5,17.14,41.99,0.072,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Janjgir-Champa,NFHS-5,11.68,39.8,0.046,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Jashpur,NFHS-5,25.41,41.94,0.107,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Kabirdham,NFHS-5,13.78,41.72,0.057,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Kondagaon,NFHS-5,26.79,43.72,0.117,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Korba,NFHS-5,18.11,42.32,0.077,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Korea,NFHS-5,20.03,42.45,0.085,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Mahasamund,NFHS-5,12.5,41.11,0.051,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Mungeli,NFHS-5,15.31,42.79,0.066,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Narayanpur,NFHS-5,36.65,49.96,0.183,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Raigarh,NFHS-5,19.08,41.86,0.08,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Raipur,NFHS-5,8.73,41.08,0.036,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Rajnandgaon,NFHS-5,10.77,39.68,0.043,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Sukma,NFHS-5,42.34,48.36,0.205,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Surajpur,NFHS-5,22.41,42.42,0.095,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Surguja,NFHS-5,24.33,44.06,0.107,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Chhattisgarh,Uttar Bastar Kanker (Kanker),NFHS-5,13.9,39.85,0.055,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Ambala,NFHS-5,3.83,42.86,0.016,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Bhiwani,NFHS-5,6.62,39.78,0.026,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Charki Dadri,NFHS-5,2.85,41.54,0.012,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Faridabad,NFHS-5,7.42,42.91,0.032,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Fatehabad,NFHS-5,7.51,41.25,0.031,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Gurugram,NFHS-5,3.29,40.19,0.013,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Hisar,NFHS-5,5.62,40.15,0.023,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Jhajjar,NFHS-5,3.2,42.07,0.013,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Jind,NFHS-5,7.42,38.7,0.029,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Kaithal,NFHS-5,3.62,42.41,0.015,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Karnal,NFHS-5,3.43,39.89,0.014,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Kurukshetra,NFHS-5,4.6,39.81,0.018,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Mahendragarh,NFHS-5,5.04,39.35,0.02,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Nuh (Mewat),NFHS-5,39.99,48.78,0.195,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Palwal,NFHS-5,14.71,46.05,0.068,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Panchkula,NFHS-5,1.42,40.51,0.006,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Panipat,NFHS-5,7.39,41.12,0.03,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Rewari,NFHS-5,2.91,40.04,0.012,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Rohtak,NFHS-5,4.69,42.56,0.02,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Sirsa,NFHS-5,7.16,40.76,0.029,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Sonipat,NFHS-5,4.01,40.85,0.016,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Haryana,Yamunanagar,NFHS-5,4.7,40.91,0.019,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Ahmedabad,NFHS-5,5.49,40.4,0.022,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Amreli,NFHS-5,7.47,39.86,0.03,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Anand,NFHS-5,10.47,41.66,0.044,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Arvalli,NFHS-5,19.19,41.63,0.08,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Banas Kantha,NFHS-5,23.83,46.13,0.11,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Bharuch,NFHS-5,12.28,41.55,0.051,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Bhavnagar,NFHS-5,12.12,44,0.053,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Botad,NFHS-5,9.77,43.9,0.043,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Chhotaudepur,NFHS-5,25.24,45.85,0.116,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Dang,NFHS-5,26.61,42.4,0.113,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Devbhumi Dwarka,NFHS-5,17.93,43.73,0.078,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Dohad,NFHS-5,38.27,45.39,0.174,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Gandhinagar,NFHS-5,5.66,41.11,0.023,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Gir Somnath,NFHS-5,9.41,39.71,0.037,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Jamnagar,NFHS-5,7.16,43.54,0.031,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Junagadh,NFHS-5,7.02,42.84,0.03,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Kachchh,NFHS-5,10.52,45.1,0.047,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Kheda,NFHS-5,17.06,40.86,0.07,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Mahesana,NFHS-5,9.11,44.32,0.04,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Mahisagar,NFHS-5,16.72,40.97,0.068,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Morbi,NFHS-5,8.6,41.86,0.036,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Narmada,NFHS-5,22.62,43.83,0.099,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Navsari,NFHS-5,4.84,41.34,0.02,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Panch Mahals,NFHS-5,18.11,42.18,0.076,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Patan,NFHS-5,12.93,41.53,0.054,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Porbandar,NFHS-5,4.07,39.1,0.016,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Rajkot,NFHS-5,3.98,41.28,0.016,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Sabar Kantha,NFHS-5,19.96,47.36,0.095,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Surat,NFHS-5,5.29,41.11,0.022,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Surendranagar,NFHS-5,11.45,42.34,0.048,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Tapi,NFHS-5,16.03,43.96,0.07,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Vadodara,NFHS-5,6.53,41.77,0.027,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Gujarat,Valsad,NFHS-5,8.11,41.93,0.034,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Goa,North Goa,NFHS-5,0.84,42.37,0.004,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Goa,South Goa,NFHS-5,0.84,33.94,0.003,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Himachal Pradesh,Bilaspur,NFHS-5,5.15,39.63,0.02,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Himachal Pradesh,Chamba,NFHS-5,9.99,39.9,0.04,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Himachal Pradesh,Hamirpur,NFHS-5,4.99,40.43,0.02,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Himachal Pradesh,Kangra,NFHS-5,4.25,39.62,0.017,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Himachal Pradesh,Kinnaur,NFHS-5,3.95,39.91,0.016,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Himachal Pradesh,Kullu,NFHS-5,7.18,39.23,0.028,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Himachal Pradesh,Lahul and Spiti,NFHS-5,7.71,37.82,0.029,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Himachal Pradesh,Mandi,NFHS-5,4.47,37.44,0.017,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Himachal Pradesh,Shimla,NFHS-5,3.09,40.58,0.013,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Himachal Pradesh,Sirmaur,NFHS-5,5.84,41.14,0.024,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Himachal Pradesh,Solan,NFHS-5,4.02,38.94,0.016,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Himachal Pradesh,Una,NFHS-5,4.47,50.5,0.023,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Bagalkote,NFHS-5,10.85,40.74,0.044,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Bangalore (Bengaluru Urban),NFHS-5,1.47,45.68,0.007,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Bangalore Rural (Bengaluru Rural ),NFHS-5,0.99,36.71,0.004,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
2019-21,Karnataka,Belagavi,NFHS-5,9.41,39.6,0.037,headcount_ratio and intensity in Percentage and mpi in Absolute Numbers,
