fiscal_year,year,month,state,category,tax_type,amount,unit,notes
2023-24,2023,August,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,CGST,0.0,amount in rupees crores,"state: State Code 99 reprents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2023-24,2023,August,Other Territory,GST collected from State,CGST,8.34,amount in rupees crores,state: Represents territories other than States/UTs
2023-24,2023,August,Meghalaya,GST collected from State,CGST,42.84,amount in rupees crores,
2023-24,2023,August,Tripura,GST collected from State,CGST,26.99,amount in rupees crores,
2023-24,2023,August,Mizoram,GST collected from State,CGST,11.67,amount in rupees crores,
2023-24,2023,August,Manipur,GST collected from State,CGST,13.97,amount in rupees crores,
2023-24,2023,August,Nagaland,GST collected from State,CGST,18.9,amount in rupees crores,
2023-24,2023,August,Arunachal Pradesh,GST collected from State,CGST,30.8,amount in rupees crores,
2023-24,2023,August,Sikkim,GST collected from State,CGST,25.52,amount in rupees crores,
2023-24,2023,August,Bihar,GST collected from State,CGST,395.43,amount in rupees crores,
2023-24,2023,August,Uttar Pradesh,GST collected from State,CGST,1765.56,amount in rupees crores,
2023-24,2023,August,Rajasthan,GST collected from State,CGST,1011.96,amount in rupees crores,
2023-24,2023,August,Delhi,GST collected from State,CGST,939.32,amount in rupees crores,
2023-24,2023,August,Haryana,GST collected from State,CGST,1209.92,amount in rupees crores,
2023-24,2023,August,Uttarakhand,GST collected from State,CGST,309.16,amount in rupees crores,
2023-24,2023,August,Chandigarh,GST collected from State,CGST,37.83,amount in rupees crores,
2023-24,2023,August,Punjab,GST collected from State,CGST,419.86,amount in rupees crores,
2023-24,2023,August,Himachal Pradesh,GST collected from State,CGST,132.33,amount in rupees crores,
2023-24,2023,August,Jammu and Kashmir,GST collected from State,CGST,146.52,amount in rupees crores,
2023-24,2023,August,Assam,GST collected from State,CGST,350.41,amount in rupees crores,
2023-24,2023,August,West Bengal,GST collected from State,CGST,1468.83,amount in rupees crores,
2023-24,2023,August,Jharkhand,GST collected from State,CGST,523.4,amount in rupees crores,
2023-24,2023,August,Lakshadweep,GST collected from State,CGST,0.5,amount in rupees crores,
2023-24,2023,August,Ladakh,GST collected from State,CGST,9.6,amount in rupees crores,
2023-24,2023,August,Andhra Pradesh,GST collected from State,CGST,860.78,amount in rupees crores,
2023-24,2023,August,Telangana,GST collected from State,CGST,1108.72,amount in rupees crores,
2023-24,2023,August,Andaman and Nicobar Islands,GST collected from State,CGST,6.9,amount in rupees crores,
2023-24,2023,August,Puducherry,GST collected from State,CGST,27.67,amount in rupees crores,
2023-24,2023,August,Tamil Nadu,GST collected from State,CGST,2564.81,amount in rupees crores,
2023-24,2023,August,Kerala,GST collected from State,CGST,825.5,amount in rupees crores,
2023-24,2023,August,Goa,GST collected from State,CGST,137.74,amount in rupees crores,
2023-24,2023,August,Odisha,GST collected from State,CGST,1153.31,amount in rupees crores,
2023-24,2023,August,Karnataka,GST collected from State,CGST,2479.8,amount in rupees crores,
2023-24,2023,August,Maharashtra,GST collected from State,CGST,6236.95,amount in rupees crores,
2023-24,2023,August,Dadra and Nagar Haveli,GST collected from State,CGST,39.16,amount in rupees crores,
2023-24,2023,August,Daman and Diu,GST collected from State,CGST,0.03,amount in rupees crores,
2023-24,2023,August,Gujarat,GST collected from State,CGST,2617.37,amount in rupees crores,
2023-24,2023,August,Madhya Pradesh,GST collected from State,CGST,765.04,amount in rupees crores,
2023-24,2023,August,Chhattisgarh,GST collected from State,CGST,604.91,amount in rupees crores,
2023-24,2023,August,Punjab,GST collected from State,IGST,758.99,amount in rupees crores,
2023-24,2023,August,Uttarakhand,GST collected from State,SGST,382.06,amount in rupees crores,
2023-24,2023,August,Uttarakhand,GST collected from State,IGST,653.02,amount in rupees crores,
2023-24,2023,August,Mizoram,GST collected from State,CESS,0.05,amount in rupees crores,
2023-24,2023,August,Chhattisgarh,GST collected from State,CESS,642.49,amount in rupees crores,
2023-24,2023,August,Odisha,GST collected from State,CESS,716.77,amount in rupees crores,
2023-24,2023,August,Jharkhand,GST collected from State,CESS,566.73,amount in rupees crores,
2023-24,2023,August,West Bengal,GST collected from State,CESS,367.33,amount in rupees crores,
2023-24,2023,August,Assam,GST collected from State,CESS,51.43,amount in rupees crores,
2023-24,2023,August,Meghalaya,GST collected from State,CESS,7.43,amount in rupees crores,
2023-24,2023,August,Tripura,GST collected from State,CESS,0.04,amount in rupees crores,
2023-24,2023,August,Manipur,GST collected from State,CESS,0.53,amount in rupees crores,
2023-24,2023,August,Gujarat,GST collected from State,CESS,648.08,amount in rupees crores,
2023-24,2023,August,Nagaland,GST collected from State,CESS,2.32,amount in rupees crores,
2023-24,2023,August,Arunachal Pradesh,GST collected from State,CESS,0.04,amount in rupees crores,
2023-24,2023,August,Sikkim,GST collected from State,CESS,0.02,amount in rupees crores,
2023-24,2023,August,Bihar,GST collected from State,CESS,153.8,amount in rupees crores,
2023-24,2023,August,Uttar Pradesh,GST collected from State,CESS,1265.01,amount in rupees crores,
2023-24,2023,August,Rajasthan,GST collected from State,CESS,99.33,amount in rupees crores,
2023-24,2023,August,Delhi,GST collected from State,CESS,95.49,amount in rupees crores,
2023-24,2023,August,Madhya Pradesh,GST collected from State,CESS,586.74,amount in rupees crores,
2023-24,2023,August,Daman and Diu,GST collected from State,CESS,0.0,amount in rupees crores,
2023-24,2023,August,Uttarakhand,GST collected from State,CESS,8.68,amount in rupees crores,
2023-24,2023,August,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,CESS,0.0,amount in rupees crores,"state: State Code 99 reprents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2023-24,2023,August,Ladakh,GST collected from State,CESS,0.05,amount in rupees crores,
2023-24,2023,August,Andhra Pradesh,GST collected from State,CESS,299.15,amount in rupees crores,
2023-24,2023,August,Haryana,GST collected from State,IGST,4199.02,amount in rupees crores,
2023-24,2023,August,Andaman and Nicobar Islands,GST collected from State,CESS,0.03,amount in rupees crores,
2023-24,2023,August,Puducherry,GST collected from State,CESS,0.33,amount in rupees crores,
2023-24,2023,August,Tamil Nadu,GST collected from State,CESS,721.1,amount in rupees crores,
2023-24,2023,August,Kerala,GST collected from State,CESS,2.07,amount in rupees crores,
2023-24,2023,August,All India,GST collected from State,SGST,35794.04,amount in rupees crores,
2023-24,2023,August,Dadra and Nagar Haveli,GST collected from State,CESS,1.56,amount in rupees crores,
2023-24,2023,August,All India,GST collected from State,IGST,39701.05,amount in rupees crores,
2023-24,2023,August,All India,GST collected from State,CGST,28328.35,amount in rupees crores,
2023-24,2023,August,All India,GST collected from State,CESS,10679.22,amount in rupees crores,
2023-24,2023,August,Lakshadweep,GST collected from State,CESS,0.0,amount in rupees crores,
2023-24,2023,August,Goa,GST collected from State,CESS,1.69,amount in rupees crores,
2023-24,2023,August,Karnataka,GST collected from State,CESS,1414.19,amount in rupees crores,
2023-24,2023,August,Maharashtra,GST collected from State,CESS,1835.44,amount in rupees crores,
2023-24,2023,August,Haryana,GST collected from State,CESS,672.05,amount in rupees crores,
2023-24,2023,August,Telangana,GST collected from State,CESS,475.56,amount in rupees crores,
2023-24,2023,August,Chandigarh,GST collected from State,CESS,1.36,amount in rupees crores,
2023-24,2023,August,Mizoram,GST collected from State,IGST,2.91,amount in rupees crores,
2023-24,2023,August,Chhattisgarh,GST collected from State,IGST,938.64,amount in rupees crores,
2023-24,2023,August,Odisha,GST collected from State,IGST,1205.2,amount in rupees crores,
2023-24,2023,August,Jharkhand,GST collected from State,IGST,829.0,amount in rupees crores,
2023-24,2023,August,West Bengal,GST collected from State,IGST,1166.79,amount in rupees crores,
2023-24,2023,August,Assam,GST collected from State,IGST,305.5,amount in rupees crores,
2023-24,2023,August,Meghalaya,GST collected from State,IGST,88.45,amount in rupees crores,
2023-24,2023,August,Tripura,GST collected from State,IGST,15.37,amount in rupees crores,
2023-24,2023,August,Manipur,GST collected from State,IGST,5.2,amount in rupees crores,
2023-24,2023,August,Gujarat,GST collected from State,IGST,3288.57,amount in rupees crores,
2023-24,2023,August,Nagaland,GST collected from State,IGST,7.65,amount in rupees crores,
2023-24,2023,August,Arunachal Pradesh,GST collected from State,IGST,11.88,amount in rupees crores,
2023-24,2023,August,Sikkim,GST collected from State,IGST,252.16,amount in rupees crores,
2023-24,2023,August,Bihar,GST collected from State,IGST,175.97,amount in rupees crores,
2023-24,2023,August,Rajasthan,GST collected from State,IGST,1250.22,amount in rupees crores,
2023-24,2023,August,Delhi,GST collected from State,IGST,2471.29,amount in rupees crores,
2023-24,2023,August,Punjab,GST collected from State,CESS,30.95,amount in rupees crores,
2023-24,2023,August,Madhya Pradesh,GST collected from State,IGST,734.06,amount in rupees crores,
2023-24,2023,August,Uttar Pradesh,GST collected from State,IGST,2059.48,amount in rupees crores,
2023-24,2023,August,Daman and Diu,GST collected from State,IGST,0.01,amount in rupees crores,
2023-24,2023,August,Jammu and Kashmir,GST collected from State,CESS,10.03,amount in rupees crores,
2023-24,2023,August,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,IGST,193.02,amount in rupees crores,"state: State Code 99 reprents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2023-24,2023,August,Other Territory,GST collected from State,IGST,162.76,amount in rupees crores,state: Represents territories other than States/UTs
2023-24,2023,August,Ladakh,GST collected from State,IGST,2.67,amount in rupees crores,
2023-24,2023,August,Andhra Pradesh,GST collected from State,IGST,1196.49,amount in rupees crores,
2023-24,2023,August,Telangana,GST collected from State,IGST,1369.0,amount in rupees crores,
2023-24,2023,August,Dadra and Nagar Haveli,GST collected from State,IGST,233.02,amount in rupees crores,
2023-24,2023,August,Andaman and Nicobar Islands,GST collected from State,IGST,4.12,amount in rupees crores,
2023-24,2023,August,Puducherry,GST collected from State,IGST,159.9,amount in rupees crores,
2023-24,2023,August,Tamil Nadu,GST collected from State,IGST,2887.98,amount in rupees crores,
2023-24,2023,August,Kerala,GST collected from State,IGST,443.0,amount in rupees crores,
2023-24,2023,August,Lakshadweep,GST collected from State,IGST,2.49,amount in rupees crores,
2023-24,2023,August,Goa,GST collected from State,IGST,195.88,amount in rupees crores,
2023-24,2023,August,Karnataka,GST collected from State,IGST,4193.21,amount in rupees crores,
2023-24,2023,August,Maharashtra,GST collected from State,IGST,7580.58,amount in rupees crores,
2023-24,2023,August,Himachal Pradesh,GST collected from State,CESS,1.35,amount in rupees crores,
2023-24,2023,July,Manipur,GST collected from State,SGST,22.53,amount in rupees crores,
2023-24,2023,July,Mizoram,GST collected from State,SGST,22.03,amount in rupees crores,
2023-24,2023,July,Meghalaya,GST collected from State,SGST,50.42,amount in rupees crores,
2023-24,2023,July,Tripura,GST collected from State,SGST,39.53,amount in rupees crores,
2023-24,2023,July,Arunachal Pradesh,GST collected from State,SGST,37.08,amount in rupees crores,
2023-24,2023,July,Assam,GST collected from State,SGST,450.52,amount in rupees crores,
2023-24,2023,July,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,SGST,0.0,amount in rupees crores,"state: State Code 99 reprents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2023-24,2023,July,Nagaland,GST collected from State,SGST,18.19,amount in rupees crores,
2023-24,2023,July,Haryana,GST collected from State,SGST,1609.86,amount in rupees crores,
2023-24,2023,July,Sikkim,GST collected from State,SGST,29.51,amount in rupees crores,
2023-24,2023,July,Bihar,GST collected from State,SGST,717.86,amount in rupees crores,
2023-24,2023,July,Uttar Pradesh,GST collected from State,SGST,2750.54,amount in rupees crores,
2023-24,2023,July,Rajasthan,GST collected from State,SGST,1380.13,amount in rupees crores,
2023-24,2023,July,Delhi,GST collected from State,SGST,1221.42,amount in rupees crores,
2023-24,2023,July,Jharkhand,GST collected from State,SGST,721.04,amount in rupees crores,
2023-24,2023,July,Uttarakhand,GST collected from State,SGST,415.18,amount in rupees crores,
2023-24,2023,July,Chandigarh,GST collected from State,SGST,56.72,amount in rupees crores,
2023-24,2023,July,Punjab,GST collected from State,SGST,727.31,amount in rupees crores,
2023-24,2023,July,West Bengal,GST collected from State,SGST,1952.69,amount in rupees crores,
2023-24,2023,July,Karnataka,GST collected from State,SGST,3181.08,amount in rupees crores,
2023-24,2023,July,Odisha,GST collected from State,SGST,1300.33,amount in rupees crores,
2023-24,2023,July,Tamil Nadu,GST collected from State,SGST,3300.0,amount in rupees crores,
2023-24,2023,July,Other Territory,GST collected from State,SGST,19.34,amount in rupees crores,state: Represents territories other than States/UTs
2023-24,2023,July,Ladakh,GST collected from State,SGST,11.0,amount in rupees crores,
2023-24,2023,July,Andhra Pradesh,GST collected from State,SGST,1198.61,amount in rupees crores,
2023-24,2023,July,Jammu and Kashmir,GST collected from State,SGST,234.0,amount in rupees crores,
2023-24,2023,July,Telangana,GST collected from State,SGST,1623.48,amount in rupees crores,
2023-24,2023,July,Andaman and Nicobar Islands,GST collected from State,SGST,11.18,amount in rupees crores,
2023-24,2023,July,Puducherry,GST collected from State,SGST,41.35,amount in rupees crores,
2023-24,2023,July,Kerala,GST collected from State,SGST,1093.31,amount in rupees crores,
2023-24,2023,July,Chhattisgarh,GST collected from State,SGST,627.31,amount in rupees crores,
2023-24,2023,July,Lakshadweep,GST collected from State,SGST,1.5,amount in rupees crores,
2023-24,2023,July,Goa,GST collected from State,SGST,173.21,amount in rupees crores,
2023-24,2023,July,Maharashtra,GST collected from State,SGST,7957.64,amount in rupees crores,
2023-24,2023,July,Dadra and Nagar Haveli,GST collected from State,SGST,56.15,amount in rupees crores,
2023-24,2023,July,Daman and Diu,GST collected from State,SGST,0.02,amount in rupees crores,
2023-24,2023,July,Gujarat,GST collected from State,SGST,3292.7,amount in rupees crores,
2023-24,2023,July,Madhya Pradesh,GST collected from State,SGST,1044.94,amount in rupees crores,
2023-24,2023,July,Himachal Pradesh,GST collected from State,SGST,232.94,amount in rupees crores,
2023-24,2023,July,Odisha,GST collected from State,CGST,1096.55,amount in rupees crores,
2023-24,2023,July,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,CGST,0.0,amount in rupees crores,"state: State Code 99 reprents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2023-24,2023,July,Other Territory,GST collected from State,CGST,10.64,amount in rupees crores,state: Represents territories other than States/UTs
2023-24,2023,July,Tripura,GST collected from State,CGST,31.03,amount in rupees crores,
2023-24,2023,July,Mizoram,GST collected from State,CGST,14.07,amount in rupees crores,
2023-24,2023,July,Manipur,GST collected from State,CGST,15.65,amount in rupees crores,
2023-24,2023,July,Nagaland,GST collected from State,CGST,13.83,amount in rupees crores,
2023-24,2023,July,Arunachal Pradesh,GST collected from State,CGST,28.3,amount in rupees crores,
2023-24,2023,July,Sikkim,GST collected from State,CGST,21.94,amount in rupees crores,
2023-24,2023,July,Bihar,GST collected from State,CGST,410.38,amount in rupees crores,
2023-24,2023,July,Uttar Pradesh,GST collected from State,CGST,1995.75,amount in rupees crores,
2023-24,2023,July,Rajasthan,GST collected from State,CGST,1088.63,amount in rupees crores,
2023-24,2023,July,Delhi,GST collected from State,CGST,1029.98,amount in rupees crores,
2023-24,2023,July,Haryana,GST collected from State,CGST,1222.74,amount in rupees crores,
2023-24,2023,July,Uttarakhand,GST collected from State,CGST,318.28,amount in rupees crores,
2023-24,2023,July,Chandigarh,GST collected from State,CGST,41.23,amount in rupees crores,
2023-24,2023,July,Jammu and Kashmir,GST collected from State,CGST,162.69,amount in rupees crores,
2023-24,2023,July,Himachal Pradesh,GST collected from State,CGST,162.58,amount in rupees crores,
2023-24,2023,July,Punjab,GST collected from State,CGST,489.38,amount in rupees crores,
2023-24,2023,July,Himachal Pradesh,GST collected from State,IGST,518.77,amount in rupees crores,
2023-24,2023,July,Meghalaya,GST collected from State,CGST,44.42,amount in rupees crores,
2023-24,2023,July,Assam,GST collected from State,CGST,360.69,amount in rupees crores,
2023-24,2023,July,West Bengal,GST collected from State,CGST,1570.54,amount in rupees crores,
2023-24,2023,July,Lakshadweep,GST collected from State,CGST,0.67,amount in rupees crores,
2023-24,2023,July,Ladakh,GST collected from State,CGST,8.47,amount in rupees crores,
2023-24,2023,July,Andhra Pradesh,GST collected from State,CGST,899.4,amount in rupees crores,
2023-24,2023,July,Telangana,GST collected from State,CGST,1210.5,amount in rupees crores,
2023-24,2023,July,Andaman and Nicobar Islands,GST collected from State,CGST,7.41,amount in rupees crores,
2023-24,2023,July,Puducherry,GST collected from State,CGST,27.18,amount in rupees crores,
2023-24,2023,July,Tamil Nadu,GST collected from State,CGST,2568.41,amount in rupees crores,
2023-24,2023,July,Kerala,GST collected from State,CGST,846.91,amount in rupees crores,
2023-24,2023,July,Goa,GST collected from State,CGST,131.03,amount in rupees crores,
2023-24,2023,July,Jharkhand,GST collected from State,CGST,538.84,amount in rupees crores,
2023-24,2023,July,Karnataka,GST collected from State,CGST,2574.96,amount in rupees crores,
2023-24,2023,July,Maharashtra,GST collected from State,CGST,6795.84,amount in rupees crores,
2023-24,2023,July,Dadra and Nagar Haveli,GST collected from State,CGST,44.46,amount in rupees crores,
2023-24,2023,July,Daman and Diu,GST collected from State,CGST,0.02,amount in rupees crores,
2023-24,2023,July,Gujarat,GST collected from State,CGST,2679.04,amount in rupees crores,
2023-24,2023,July,Madhya Pradesh,GST collected from State,CGST,794.89,amount in rupees crores,
2023-24,2023,July,Chhattisgarh,GST collected from State,CGST,516.0,amount in rupees crores,
2023-24,2023,July,Jammu and Kashmir,GST collected from State,IGST,141.35,amount in rupees crores,
2023-24,2023,July,Himachal Pradesh,GST collected from State,CESS,2.56,amount in rupees crores,
2023-24,2023,July,Punjab,GST collected from State,IGST,739.82,amount in rupees crores,
2023-24,2023,July,Uttarakhand,GST collected from State,CESS,10.49,amount in rupees crores,
2023-24,2023,July,Gujarat,GST collected from State,CESS,631.04,amount in rupees crores,
2023-24,2023,July,Chhattisgarh,GST collected from State,CESS,643.51,amount in rupees crores,
2023-24,2023,July,Odisha,GST collected from State,CESS,753.93,amount in rupees crores,
2023-24,2023,July,Jharkhand,GST collected from State,CESS,581.9,amount in rupees crores,
2023-24,2023,July,West Bengal,GST collected from State,CESS,367.65,amount in rupees crores,
2023-24,2023,July,Assam,GST collected from State,CESS,71.9,amount in rupees crores,
2023-24,2023,July,Meghalaya,GST collected from State,CESS,0.29,amount in rupees crores,
2023-24,2023,July,Tripura,GST collected from State,CESS,0.57,amount in rupees crores,
2023-24,2023,July,Mizoram,GST collected from State,CESS,0.07,amount in rupees crores,
2023-24,2023,July,Manipur,GST collected from State,CESS,0.04,amount in rupees crores,
2023-24,2023,July,Nagaland,GST collected from State,CESS,2.94,amount in rupees crores,
2023-24,2023,July,Arunachal Pradesh,GST collected from State,CESS,0.06,amount in rupees crores,
2023-24,2023,July,Sikkim,GST collected from State,CESS,0.1,amount in rupees crores,
2023-24,2023,July,Bihar,GST collected from State,CESS,178.06,amount in rupees crores,
2023-24,2023,July,Uttar Pradesh,GST collected from State,CESS,1447.22,amount in rupees crores,
2023-24,2023,July,Rajasthan,GST collected from State,CESS,111.14,amount in rupees crores,
2023-24,2023,July,Delhi,GST collected from State,CESS,100.8,amount in rupees crores,
2023-24,2023,July,Daman and Diu,GST collected from State,CESS,0.0,amount in rupees crores,
2023-24,2023,July,Dadra and Nagar Haveli,GST collected from State,CESS,0.28,amount in rupees crores,
2023-24,2023,July,Maharashtra,GST collected from State,CESS,1811.06,amount in rupees crores,
2023-24,2023,July,Ladakh,GST collected from State,CESS,0.03,amount in rupees crores,
2023-24,2023,July,All India,GST collected from State,SGST,37622.65,amount in rupees crores,
2023-24,2023,July,Chandigarh,GST collected from State,IGST,118.26,amount in rupees crores,
2023-24,2023,July,All India,GST collected from State,IGST,44691.38,amount in rupees crores,
2023-24,2023,July,All India,GST collected from State,CGST,29773.329999999998,amount in rupees crores,
2023-24,2023,July,All India,GST collected from State,CESS,10939.08,amount in rupees crores,
2023-24,2023,July,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,CESS,0.0,amount in rupees crores,"state: State Code 99 reprents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2023-24,2023,July,Other Territory,GST collected from State,CESS,0.0,amount in rupees crores,state: Represents territories other than States/UTs
2023-24,2023,July,Andhra Pradesh,GST collected from State,CESS,240.68,amount in rupees crores,
2023-24,2023,July,Karnataka,GST collected from State,CESS,1449.12,amount in rupees crores,
2023-24,2023,July,Telangana,GST collected from State,CESS,561.91,amount in rupees crores,
2023-24,2023,July,Andaman and Nicobar Islands,GST collected from State,CESS,0.1,amount in rupees crores,
2023-24,2023,July,Puducherry,GST collected from State,CESS,0.27,amount in rupees crores,
2023-24,2023,July,Tamil Nadu,GST collected from State,CESS,775.72,amount in rupees crores,
2023-24,2023,July,Kerala,GST collected from State,CESS,2.34,amount in rupees crores,
2023-24,2023,July,Lakshadweep,GST collected from State,CESS,0.0,amount in rupees crores,
2023-24,2023,July,Goa,GST collected from State,CESS,3.68,amount in rupees crores,
2023-24,2023,July,Haryana,GST collected from State,CESS,549.03,amount in rupees crores,
2023-24,2023,July,Madhya Pradesh,GST collected from State,CESS,584.85,amount in rupees crores,
2023-24,2023,July,Chandigarh,GST collected from State,CESS,0.86,amount in rupees crores,
2023-24,2023,July,Madhya Pradesh,GST collected from State,IGST,900.37,amount in rupees crores,
2023-24,2023,July,Odisha,GST collected from State,IGST,1094.59,amount in rupees crores,
2023-24,2023,July,Jharkhand,GST collected from State,IGST,1016.77,amount in rupees crores,
2023-24,2023,July,West Bengal,GST collected from State,IGST,1236.96,amount in rupees crores,
2023-24,2023,July,Assam,GST collected from State,IGST,299.65,amount in rupees crores,
2023-24,2023,July,Meghalaya,GST collected from State,IGST,80.23,amount in rupees crores,
2023-24,2023,July,Tripura,GST collected from State,IGST,6.97,amount in rupees crores,
2023-24,2023,July,Mizoram,GST collected from State,IGST,2.97,amount in rupees crores,
2023-24,2023,July,Manipur,GST collected from State,IGST,3.82,amount in rupees crores,
2023-24,2023,July,Nagaland,GST collected from State,IGST,7.99,amount in rupees crores,
2023-24,2023,July,Arunachal Pradesh,GST collected from State,IGST,8.25,amount in rupees crores,
2023-24,2023,July,Sikkim,GST collected from State,IGST,262.42,amount in rupees crores,
2023-24,2023,July,Bihar,GST collected from State,IGST,181.51,amount in rupees crores,
2023-24,2023,July,Uttar Pradesh,GST collected from State,IGST,2608.52,amount in rupees crores,
2023-24,2023,July,Rajasthan,GST collected from State,IGST,1408.09,amount in rupees crores,
2023-24,2023,July,Delhi,GST collected from State,IGST,3053.18,amount in rupees crores,
2023-24,2023,July,Punjab,GST collected from State,CESS,43.9,amount in rupees crores,
2023-24,2023,July,Uttarakhand,GST collected from State,IGST,863.17,amount in rupees crores,
2023-24,2023,July,Chhattisgarh,GST collected from State,IGST,1017.76,amount in rupees crores,
2023-24,2023,July,Haryana,GST collected from State,IGST,4571.32,amount in rupees crores,
2023-24,2023,July,Gujarat,GST collected from State,IGST,3184.55,amount in rupees crores,
2023-24,2023,July,Puducherry,GST collected from State,IGST,146.75,amount in rupees crores,
2023-24,2023,July,Daman and Diu,GST collected from State,IGST,0.17,amount in rupees crores,
2023-24,2023,July,Central Board of Indirect Taxes and Customs (CBIC),GST collected from State,IGST,209.19,amount in rupees crores,"state: State Code 99 reprents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2023-24,2023,July,Other Territory,GST collected from State,IGST,195.68,amount in rupees crores,state: Represents territories other than States/UTs
2023-24,2023,July,Ladakh,GST collected from State,IGST,3.1,amount in rupees crores,
2023-24,2023,July,Andhra Pradesh,GST collected from State,IGST,1254.72,amount in rupees crores,
2023-24,2023,July,Telangana,GST collected from State,IGST,1453.15,amount in rupees crores,
